Artist	Date	Titre	D1	D2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	"Damas. 1843, prise de la terrasse Baudin "	8.8	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	"Gênes. 1842. Cathédrale, dét[ail] du portail "	14.1	9.4
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Colosse 	9.5	8.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	Athènes. 1842. Stoa [d'Adrien] 	18.0	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Temple rond 	8.5	6.8
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Gd Temple. Colonnade 	8.5	5.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	Mylasa. 1843. Chapiteaux 	23.5	9.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1841	[Cathédrale Notre-Dame de Paris : clocher nord] 	23.0	17.3
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Près Baalbec. Hamoudiade. [Aamoud Yaat]. Chap. 	8.6	6.0
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Samarie. Eglise. Chap. Int. 	8.5	7.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Damas. Gde Mosquée. Porte. Corniche 	8.7	10.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Baalbec. Gde Colonne au S. Tambour 	5.7	8.6
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1843	Baalbec. 1843. Carrières à l'O. 	8.8	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Constantinople. Grande Mosquée ? 	8.0	9.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	[Jérusalem : vue panoramique] 	8.8	23.5
" Girault de Prangey , Philibert-Joseph (1804-1892)"	1842	Athènes. 1842. Palmier près [Eglise des] S[aints] Théodore[s]. 89 	23.5	18.2
" Girault de Prangey , Philibert-Joseph (1804-1892)"	 1842-1844	Memphis. Tête de Sésostris 	8.5	7.2
