title,subject
 domaine public, Constantinople. Mme Annette Langerrois : [photographie] / Joseph Philibert Girault de Prangey
 still image, Vieux Kaire. Soliman Pacha et ses enfans : [photographie] / Joseph Philibert Girault de Prangey
 still image, Kaire. Ayoucha assise : [photographie] / Joseph Philibert Girault de Prangey
 still image, Alep. Mme Virginie Vincent : [photographie] / Joseph Philibert Girault de Prangey
 Portraits d'intérieur avec décor -- 1800-1869, Kaire. Perron et sa famille : [photographie] / Joseph Philibert Girault de Prangey
" Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG2-775", Magnésie. Moulins : [photographie] / Joseph Philibert Girault de Prangey
" Bibliothèque nationale de France, département Estampes et photographie, EST RESERVE EG2-789", Samarie. Eglise. Chap. Int. : [photographie] / Joseph Philibert Girault de Prangey
